,0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,index,plate_well_neuron,disease
70647,0.015400689,0.018176719,,,,,,,0.019349667,0.020879198,0.02617743,,,,,,70648,RGEDIMachineLearning28_A3_3,normal
70648,0.016206814,0.015926061,,,,,,,0.170178623,,,,,,,,70649,RGEDIMachineLearning28_A3_4,normal
70649,0.015021515,0.164240444,,,,,,,,,,,,,,,70650,RGEDIMachineLearning28_A3_5,normal
70650,0.079211427,,,,,,,,,,,,,,,,70651,RGEDIMachineLearning28_A3_6,normal
70651,0.010726672,0.017799116,,,,,,,,,,,,,,,70652,RGEDIMachineLearning28_A3_7,normal
70652,0.015727285,0.17677462,,,,,,,,,,,,,,,70653,RGEDIMachineLearning28_A3_8,normal
70653,0.013659263,0.135152884,,,,,,,,,,,,,,,70654,RGEDIMachineLearning28_A3_9,normal
70654,0.015598174,0.017396446,,,,,,,0.017906909,0.018533536,0.021880923,0.022243214,0.023742915,0.027952943,,,70655,RGEDIMachineLearning28_A4_1,normal
70655,0.016292919,,,,,,,,,,,,,,,,70656,RGEDIMachineLearning28_A4_10,normal
70656,0.017098774,0.019512514,,,,,,,0.018962325,0.021933742,0.024645115,0.211022925,,,,,70657,RGEDIMachineLearning28_A4_11,normal
70657,0.015643606,,,,,,,,,,,,,,,,70658,RGEDIMachineLearning28_A4_12,normal
70658,0.017056884,0.015981925,,,,,,,,,,,,,,,70659,RGEDIMachineLearning28_A4_13,normal
70659,0.01757257,,,,,,,,,,,,,,,,70660,RGEDIMachineLearning28_A4_14,normal
70660,0.013356926,0.017276861,,,,,,,0.239183635,,,,,,,,70661,RGEDIMachineLearning28_A4_15,normal
70661,0.016242398,,,,,,,,,,,,,,,,70662,RGEDIMachineLearning28_A4_16,normal
70662,0.017832941,0.182734443,,,,,,,,,,,,,,,70663,RGEDIMachineLearning28_A4_17,normal
70663,0.015493272,0.016847482,,,,,,,,,,,,,,,70664,RGEDIMachineLearning28_A4_18,normal
70664,0.015034775,0.017444957,,,,,,,0.017052444,0.168015771,,,,,,,70665,RGEDIMachineLearning28_A4_19,normal
70665,0.009916005,0.018295075,,,,,,,,,,,,,,,70666,RGEDIMachineLearning28_A4_2,normal
70666,0.019316517,0.021845802,,,,,,,0.147607572,,,,,,,,70667,RGEDIMachineLearning28_A4_3,normal
70667,0.015742303,0.019599443,,,,,,,0.023439583,0.02185811,0.025349486,,,,,,70668,RGEDIMachineLearning28_A4_4,normal
70668,0.015623659,,,,,,,,,,,,,,,,70669,RGEDIMachineLearning28_A4_5,normal
70669,0.013596006,0.015984677,,,,,,,,,,,,,,,70670,RGEDIMachineLearning28_A4_6,normal
70670,0.144175129,,,,,,,,,,,,,,,,70671,RGEDIMachineLearning28_A4_7,normal
70671,0.014377564,0.01788406,,,,,,,,,,,,,,,70672,RGEDIMachineLearning28_A4_8,normal
70672,0.017714988,0.020043323,,,,,,,0.152447646,,,,,,,,70673,RGEDIMachineLearning28_A4_9,normal
70673,0.013284325,,,,,,,,,,,,,,,,70674,RGEDIMachineLearning28_A9_1,normal
70674,0.011977392,0.012875747,,,,,,,0.013830878,0.013714685,0.013109594,0.013298648,0.013706888,0.014195199,,,70675,RGEDIMachineLearning28_A9_10,normal
70675,0.01417393,,,,,,,,,,,,,,,,70676,RGEDIMachineLearning28_A9_11,normal
70676,0.012341346,0.169788378,,,,,,,,,,,,,,,70677,RGEDIMachineLearning28_A9_12,normal
70677,0.016281287,,,,,,,,,,,,,,,,70678,RGEDIMachineLearning28_A9_13,normal
70678,0.014666681,,,,,,,,,,,,,,,,70679,RGEDIMachineLearning28_A9_14,normal
70679,0.011086514,,,,,,,,,,,,,,,,70680,RGEDIMachineLearning28_A9_15,normal
70680,0.014187371,0.017137421,,,,,,,0.01786135,,,,,,,,70681,RGEDIMachineLearning28_A9_16,normal
70681,0.01759781,0.378261374,,,,,,,,,,,,,,,70682,RGEDIMachineLearning28_A9_17,normal
70682,0.015862559,,,,,,,,,,,,,,,,70683,RGEDIMachineLearning28_A9_18,normal
70683,0.014534139,0.016167627,,,,,,,0.018237579,0.019099348,0.021120706,0.020417607,0.019201399,0.017119213,,,70684,RGEDIMachineLearning28_A9_19,normal
70684,0.01704433,0.177660173,,,,,,,,,,,,,,,70685,RGEDIMachineLearning28_A9_2,normal
70685,0.016288955,,,,,,,,,,,,,,,,70686,RGEDIMachineLearning28_A9_20,normal
70686,0.014674163,0.017480229,,,,,,,0.018474094,0.018408599,0.019388173,0.021063831,0.019957679,0.019687332,,,70687,RGEDIMachineLearning28_A9_21,normal
70687,0.019164251,0.152521776,,,,,,,,,,,,,,,70688,RGEDIMachineLearning28_A9_22,normal
70688,0.015974647,0.017108354,,,,,,,0.018384599,0.018247746,0.019752634,0.021045595,0.019719336,0.020745626,,,70689,RGEDIMachineLearning28_A9_23,normal
70689,0.014016068,0.018448315,,,,,,,0.027706428,0.156821751,,,,,,,70690,RGEDIMachineLearning28_A9_24,normal
70690,0.01273721,0.017100564,,,,,,,0.173102845,,,,,,,,70691,RGEDIMachineLearning28_A9_3,normal
70691,0.019205553,0.019979647,,,,,,,0.175443814,,,,,,,,70692,RGEDIMachineLearning28_A9_4,normal
70692,0.015037226,0.016648189,,,,,,,0.019189951,0.017749836,0.018747966,,,,,,70693,RGEDIMachineLearning28_A9_5,normal
70693,0.014901702,,,,,,,,,,,,,,,,70694,RGEDIMachineLearning28_A9_6,normal
70694,0.016420558,,,,,,,,,,,,,,,,70695,RGEDIMachineLearning28_A9_7,normal
70695,0.015924906,0.016441725,,,,,,,0.017539737,,,,,,,,70696,RGEDIMachineLearning28_A9_8,normal
70696,0.022974198,,,,,,,,,,,,,,,,70697,RGEDIMachineLearning28_A9_9,normal
70697,0.015199228,0.015834477,,,,,,,,,,,,,,,70698,RGEDIMachineLearning28_B1_1,normal
70698,0.015835374,0.017597161,,,,,,,0.019794434,0.020235243,0.021701648,0.023144178,0.021887912,0.022817627,,,70699,RGEDIMachineLearning28_B1_2,normal
70699,0.132295904,,,,,,,,,,,,,,,,70700,RGEDIMachineLearning28_B1_3,normal
70700,0.015509612,,,,,,,,,,,,,,,,70701,RGEDIMachineLearning28_B1_4,normal
70701,0.013094377,,,,,,,,,,,,,,,,70702,RGEDIMachineLearning28_B1_5,normal
70702,0.014820119,0.017009132,,,,,,,0.017623205,0.018718174,,,,,,,70703,RGEDIMachineLearning28_B1_6,normal
70703,0.013522868,0.139702211,,,,,,,,,,,,,,,70704,RGEDIMachineLearning28_B1_7,normal
70704,0.017164007,0.017561186,,,,,,,0.021916386,0.020965052,0.021170886,0.022247356,0.02316867,0.021890317,,,70705,RGEDIMachineLearning28_B1_8,normal
70705,0.012877967,0.014926223,,,,,,,0.014792093,0.013776847,0.015608307,0.012151102,0.017914814,,,,70706,RGEDIMachineLearning28_B10_1,normal
70706,0.014210913,0.020531382,,,,,,,0.021960267,0.024783778,0.026820052,0.23099952,,,,,70707,RGEDIMachineLearning28_B10_2,normal
70707,0.020641774,0.014493596,,,,,,,0.015702765,0.017507388,0.018185866,0.016637821,0.017701086,0.019006165,,,70708,RGEDIMachineLearning28_B10_3,normal
70708,0.009630432,,,,,,,,,,,,,,,,70709,RGEDIMachineLearning28_B11_1,normal
70709,0.016222345,,,,,,,,,,,,,,,,70710,RGEDIMachineLearning28_B11_10,normal
70710,0.017074816,0.019495445,,,,,,,0.018423618,0.018569855,0.020386848,0.019935393,0.020943776,0.219158244,,,70711,RGEDIMachineLearning28_B11_11,normal
70711,0.100365377,,,,,,,,,,,,,,,,70712,RGEDIMachineLearning28_B11_12,normal
70712,0.094338081,0.016011029,,,,,,,,,,,,,,,70713,RGEDIMachineLearning28_B11_13,normal
70713,0.011649524,,,,,,,,,,,,,,,,70714,RGEDIMachineLearning28_B11_2,normal
70714,0.013828694,0.015555789,,,,,,,0.152230711,,,,,,,,70715,RGEDIMachineLearning28_B11_3,normal
70715,0.016437915,0.015987464,,,,,,,,,,,,,,,70716,RGEDIMachineLearning28_B11_4,normal
70716,0.016905425,,,,,,,,,,,,,,,,70717,RGEDIMachineLearning28_B11_5,normal
70717,0.012036142,0.018031804,,,,,,,,,,,,,,,70718,RGEDIMachineLearning28_B11_6,normal
