"","plate_well_neuron","1","2","3","4","5","6","7","8","9","10","11","12","13"
"65","PID20170214_RGEDIMachineLearning22_A1_68",0.015614666939479,0.0165168724245616,0.018041601117315,0.0172944344108944,0.0190586407398017,0.0144950814860271,NA,NA,NA,NA,NA,NA,NA
"66","PID20170214_RGEDIMachineLearning22_A1_69",0.0176898318329109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","PID20170214_RGEDIMachineLearning22_A1_7",0.0134842136415288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","PID20170214_RGEDIMachineLearning22_A1_70",0.0152140991330729,0.0170720726824738,0.02096887061555,0.020372902228879,0.0209641137148728,0.0213602121021974,NA,NA,NA,NA,NA,NA,NA
"69","PID20170214_RGEDIMachineLearning22_A1_71",0.0172667125495706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","PID20170214_RGEDIMachineLearning22_A1_72",0.0154403125786541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","PID20170214_RGEDIMachineLearning22_A1_73",0.0176420390468153,0.0174721627575821,0.0248504026706861,0.0251392117927587,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","PID20170214_RGEDIMachineLearning22_A1_74",0.128713974361573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","PID20170214_RGEDIMachineLearning22_A1_75",0.0168203103365555,0.16760508747003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","PID20170214_RGEDIMachineLearning22_A1_76",0.016033003635667,0.0184215588344472,0.0218312892923098,0.0211735279407372,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","PID20170214_RGEDIMachineLearning22_A1_77",0.019088544149496,0.0189870527294515,0.0181836838370821,0.0169807943586951,0.0178035866479582,0.0184618989634627,0.0360809559449465,NA,NA,NA,NA,NA,NA
"76","PID20170214_RGEDIMachineLearning22_A1_78",0.152549781651446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","PID20170214_RGEDIMachineLearning22_A1_79",0.0144958840329259,0.0173975547751045,0.0186785130585126,0.0176135113298355,0.0181085219170093,0.0181686559615365,NA,NA,NA,NA,NA,NA,NA
"78","PID20170214_RGEDIMachineLearning22_A1_8",0.0184571112651482,0.151443982152227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","PID20170214_RGEDIMachineLearning22_A1_80",0.0161730035499964,0.153732828806377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","PID20170214_RGEDIMachineLearning22_A1_81",0.0167235748218741,0.093406262448037,0.0171744578363919,0.157790995057729,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","PID20170214_RGEDIMachineLearning22_A1_9",0.0196643996562018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","PID20170214_RGEDIMachineLearning22_A10_1",0.141684552051638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","PID20170214_RGEDIMachineLearning22_A10_10",0.0188149065920193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","PID20170214_RGEDIMachineLearning22_A10_11",0.0193099230896051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","PID20170214_RGEDIMachineLearning22_A10_12",0.0158187738725582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","PID20170214_RGEDIMachineLearning22_A10_13",0.146278848762211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","PID20170214_RGEDIMachineLearning22_A10_14",0.13015321284787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","PID20170214_RGEDIMachineLearning22_A10_15",0.013999717055809,0.017560771508981,0.0193470057217155,0.0201372897317844,0.0209304149608352,0.0245089389223767,0.0262336968045213,NA,NA,NA,NA,NA,NA
"89","PID20170214_RGEDIMachineLearning22_A10_16",0.0171320558053049,0.0145106398223254,0.0160951365330213,0.0175400662205169,0.0188871205405417,0.0185259517167077,NA,NA,NA,NA,NA,NA,NA
"90","PID20170214_RGEDIMachineLearning22_A10_17",0.12987140473162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","PID20170214_RGEDIMachineLearning22_A10_18",0.0168225296494863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","PID20170214_RGEDIMachineLearning22_A10_19",0.0189655235132165,0.0198685330799704,0.0206516481413542,0.0217921989375845,0.0208543333411612,0.0250925460680258,0.0272849000853844,NA,NA,NA,NA,NA,NA
"93","PID20170214_RGEDIMachineLearning22_A10_2",0.0179741309238069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","PID20170214_RGEDIMachineLearning22_A10_20",0.0131600775240794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","PID20170214_RGEDIMachineLearning22_A10_21",0.0151136566608963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","PID20170214_RGEDIMachineLearning22_A10_22",0.0144593379967989,0.0170943736750361,0.0211175548623596,0.0189841924597138,0.021722946146422,NA,NA,NA,NA,NA,NA,NA,NA
"97","PID20170214_RGEDIMachineLearning22_A10_23",0.0176534459145262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","PID20170214_RGEDIMachineLearning22_A10_24",0.00911754748479436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","PID20170214_RGEDIMachineLearning22_A10_25",0.0172237536689605,0.0185084328098276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","PID20170214_RGEDIMachineLearning22_A10_26",0.0191015051101977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","PID20170214_RGEDIMachineLearning22_A10_27",0.180664644659172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","PID20170214_RGEDIMachineLearning22_A10_28",0.168471047466109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","PID20170214_RGEDIMachineLearning22_A10_29",0.142586914756131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","PID20170214_RGEDIMachineLearning22_A10_3",0.0174410395546404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","PID20170214_RGEDIMachineLearning22_A10_30",0.0198943806531575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","PID20170214_RGEDIMachineLearning22_A10_31",0.0201290680202726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","PID20170214_RGEDIMachineLearning22_A10_32",0.0154781256626113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","PID20170214_RGEDIMachineLearning22_A10_33",0.0154720758333082,0.0170523059439875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","PID20170214_RGEDIMachineLearning22_A10_34",0.0202670398430755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","PID20170214_RGEDIMachineLearning22_A10_35",0.190328851816547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","PID20170214_RGEDIMachineLearning22_A10_36",0.0190944683682713,0.0160516874399133,0.0157685378127267,0.0175432184496141,0.0185129068015109,NA,NA,NA,NA,NA,NA,NA,NA
"112","PID20170214_RGEDIMachineLearning22_A10_4",0.0153940531676959,0.0182502844037405,0.0193496067274609,0.0215342268046415,0.025192849942293,0.0256218454729003,0.0227196701629983,NA,NA,NA,NA,NA,NA
"113","PID20170214_RGEDIMachineLearning22_A10_5",0.0168866903032096,0.019031075856517,0.0213781541726572,0.0234393837634928,0.0269157564800062,0.0293649325906253,0.0303350486267146,NA,NA,NA,NA,NA,NA
"114","PID20170214_RGEDIMachineLearning22_A10_6",0.0119672783400893,0.0169554556600222,0.0180053348647826,0.162879205092036,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","PID20170214_RGEDIMachineLearning22_A10_7",0.016041204243447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","PID20170214_RGEDIMachineLearning22_A10_8",0.0170117222653257,0.0175064310234524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","PID20170214_RGEDIMachineLearning22_A10_9",0.0158150704703361,0.0175538140691771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","PID20170214_RGEDIMachineLearning22_A11_1",0.00639131197266903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","PID20170214_RGEDIMachineLearning22_A11_10",0.0152718926553932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","PID20170214_RGEDIMachineLearning22_A11_11",0.0182384727573743,0.0182127674051744,0.0199470447381936,0.0201877877475889,0.020885343802354,0.0224259020507773,NA,NA,NA,NA,NA,NA,NA
"121","PID20170214_RGEDIMachineLearning22_A11_12",0.0163980813455681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","PID20170214_RGEDIMachineLearning22_A11_13",0.0177799954493978,0.0196516292000959,0.0217932155244936,0.0247612943100981,0.0267765026802328,0.0294118236091968,0.0317325782114141,NA,NA,NA,NA,NA,NA
"123","PID20170214_RGEDIMachineLearning22_A11_14",0.0155100058177183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","PID20170214_RGEDIMachineLearning22_A11_15",0.0159430236613936,0.0172792938104075,0.0173854273612664,0.0197060220988739,0.0204937919343484,0.167311393306737,NA,NA,NA,NA,NA,NA,NA
"125","PID20170214_RGEDIMachineLearning22_A11_16",0.0144457713060604,0.0167967388150098,0.0198488969476985,0.0186726176469215,0.0199985231496478,0.163840653728522,0.170491442646549,NA,NA,NA,NA,NA,NA
"126","PID20170214_RGEDIMachineLearning22_A11_17",0.0152641637383605,0.0175585303585086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","PID20170214_RGEDIMachineLearning22_A11_18",0.0165189884236143,0.0417253703268557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","PID20170214_RGEDIMachineLearning22_A11_19",0.0183635128003245,0.0218760520304778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
