index,plate_well_neuron,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
71,PID20170214_RGEDIMachineLearning22_A1_73,0.017642039,0.017472163,0.024850403,0.025139212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,PID20170214_RGEDIMachineLearning22_A1_74,0.128713974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,PID20170214_RGEDIMachineLearning22_A1_75,0.01682031,0.167605087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,PID20170214_RGEDIMachineLearning22_A1_76,0.016033004,0.018421559,0.021831289,0.021173528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,PID20170214_RGEDIMachineLearning22_A1_77,0.019088544,0.018987053,0.018183684,0.016980794,0.017803587,0.018461899,0.036080956,NA,NA,NA,NA,NA,NA,NA,NA
76,PID20170214_RGEDIMachineLearning22_A1_78,0.152549782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,PID20170214_RGEDIMachineLearning22_A1_79,0.014495884,0.017397555,0.018678513,0.017613511,0.018108522,0.018168656,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,PID20170214_RGEDIMachineLearning22_A1_8,0.018457111,0.151443982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,PID20170214_RGEDIMachineLearning22_A1_80,0.016173004,0.153732829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,PID20170214_RGEDIMachineLearning22_A1_81,0.016723575,0.093406262,0.017174458,0.157790995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,PID20170214_RGEDIMachineLearning22_A1_9,0.0196644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,PID20170214_RGEDIMachineLearning22_A10_1,0.141684552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,PID20170214_RGEDIMachineLearning22_A10_10,0.018814907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,PID20170214_RGEDIMachineLearning22_A10_11,0.019309923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,PID20170214_RGEDIMachineLearning22_A10_12,0.015818774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,PID20170214_RGEDIMachineLearning22_A10_13,0.146278849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,PID20170214_RGEDIMachineLearning22_A10_14,0.130153213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,PID20170214_RGEDIMachineLearning22_A10_15,0.013999717,0.017560772,0.019347006,0.02013729,0.020930415,0.024508939,0.026233697,NA,NA,NA,NA,NA,NA,NA,NA
89,PID20170214_RGEDIMachineLearning22_A10_16,0.017132056,0.01451064,0.016095137,0.017540066,0.018887121,0.018525952,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,PID20170214_RGEDIMachineLearning22_A10_17,0.129871405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,PID20170214_RGEDIMachineLearning22_A10_18,0.01682253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,PID20170214_RGEDIMachineLearning22_A10_19,0.018965524,0.019868533,0.020651648,0.021792199,0.020854333,0.025092546,0.0272849,NA,NA,NA,NA,NA,NA,NA,NA
93,PID20170214_RGEDIMachineLearning22_A10_2,0.017974131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,PID20170214_RGEDIMachineLearning22_A10_20,0.013160078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,PID20170214_RGEDIMachineLearning22_A10_21,0.015113657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,PID20170214_RGEDIMachineLearning22_A10_22,0.014459338,0.017094374,0.021117555,0.018984192,0.021722946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,PID20170214_RGEDIMachineLearning22_A10_23,0.017653446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
